ticker,daily_vol,annual_vol,trading_days,n_obs
CBA.AX,0.012334,0.1958,252,1008
WOW.AX,0.011875,0.188518,252,1008
BHP.AX,0.015667,0.24871,252,1008
CSL.AX,0.014962,0.237516,252,1008
