Date,CBA.AX,WOW.AX,BHP.AX,CSL.AX
2022-01-04,87.16236877441406,33.571617126464844,28.351421356201172,275.89801025390625
2022-01-05,87.74905395507812,33.03928756713867,28.51866340637207,270.8739318847656
2022-01-06,85.00264739990234,32.664039611816406,28.55211067199707,260.9934387207031
2022-01-07,87.28140258789062,32.60294723510742,29.254547119140625,263.23052978515625
2022-01-10,87.85108947753906,32.37605667114258,29.956974029541016,260.9934387207031
2022-01-11,86.52465057373047,31.7041015625,29.870010375976562,259.0732116699219
2022-01-12,86.37159729003906,31.468481063842773,30.18443489074707,263.9109191894531
2022-01-13,86.83074951171875,31.451026916503906,31.341773986816406,262.57806396484375
2022-01-14,85.75088500976562,30.55217170715332,31.228044509887695,257.26495361328125
2022-01-17,86.01448059082031,30.936153411865234,30.873483657836914,259.2223815917969
2022-01-18,85.69987487792969,30.78780174255371,31.241418838500977,255.13970947265625
2022-01-19,84.45848083496094,30.892520904541016,31.14776039123535,252.0450897216797
2022-01-20,83.84626770019531,30.613264083862305,32.11778259277344,252.8373565673828
2022-01-21,82.79192352294922,30.325286865234375,30.572431564331055,246.564208984375
2022-01-24,82.8514404296875,30.560903549194336,30.505535125732422,244.74658203125
2022-01-25,81.15937042236328,30.028579711914062,30.12421989440918,240.8130340576172
2022-01-27,79.7394027709961,29.40898323059082,30.552370071411133,232.49853515625
2022-01-28,81.34644317626953,30.44745635986328,31.388595581054688,240.03004455566406
2022-01-31,79.70539855957031,30.037303924560547,31.00727081298828,242.67724609375
2022-02-01,79.86695861816406,30.168203353881836,30.05731964111328,243.79576110839844
2022-02-02,80.55567932128906,30.342737197875977,30.532299041748047,244.60678100585938
2022-02-03,79.45030975341797,30.325286865234375,31.475563049316406,239.98342895507812
2022-02-04,80.01148986816406,30.587081909179688,31.31500816345215,241.22315979003906
2022-02-07,79.92646789550781,29.984943389892578,31.703020095825195,237.32688903808594
2022-02-08,80.18154907226562,29.513696670532227,32.88042449951172,239.5360565185547
2022-02-09,84.6540298461914,30.028579711914062,32.325172424316406,238.25901794433594
2022-02-10,85.69137573242188,29.819135665893555,32.29840850830078,236.48802185058594
2022-02-11,83.79524993896484,29.47006607055664,32.68642044067383,231.6316680908203
2022-02-14,85.06217193603516,29.59223747253418,32.33185958862305,227.02699279785156
2022-02-15,84.5945053100586,29.923860549926758,32.23151397705078,226.50498962402344
2022-02-16,85.31287384033203,30.1507511138916,31.662883758544922,245.79055786132812
2022-02-17,85.52059936523438,30.0809383392334,32.091026306152344,258.19708251953125
2022-02-18,84.60315704345703,29.679506301879883,32.08433532714844,247.5429229736328
2022-02-21,84.8974380493164,30.098392486572266,32.27165222167969,245.6507568359375
2022-02-22,83.1231460571289,30.717987060546875,31.983991622924805,248.85723876953125
2022-02-23,83.68574523925781,31.13686752319336,32.1779899597168,250.63758850097656
2022-02-24,81.97203063964844,31.145593643188477,31.47951889038086,246.81585693359375
2022-02-25,81.25364685058594,31.20667839050293,31.423269271850586,243.5907440185547
2022-02-28,80.89015197753906,30.9710636138916,32.80845642089844,242.3323974609375
2022-03-01,82.06723022460938,30.80525016784668,32.731109619140625,243.3763427734375
2022-03-02,81.96337890625,30.752897262573242,33.97566604614258,243.0501251220703
2022-03-03,81.79893493652344,30.099885940551758,35.19913101196289,240.020751953125
2022-03-04,81.87682342529297,30.717594146728516,35.11474609375,240.76641845703125
2022-03-07,81.91143798828125,30.514638900756836,35.424129486083984,234.00196838378906
2022-03-08,82.73367309570312,31.53826332092285,34.123321533203125,240.55357360839844
2022-03-09,84.30890655517578,31.591201782226562,34.095191955566406,240.8816375732422
2022-03-10,86.32552337646484,31.55590057373047,33.57487487792969,246.5053253173828
2022-03-11,86.0139389038086,31.13233757019043,33.53268051147461,240.44110107421875
2022-03-14,88.28157043457031,31.41472053527832,33.3006477355957,246.75836181640625
2022-03-15,89.82215881347656,31.3441219329834,31.901405334472656,247.2270050048828
2022-03-16,90.67035675048828,32.29715347290039,31.767812728881836,251.66973876953125
2022-03-17,91.87342071533203,32.05889892578125,32.119384765625,253.61932373046875
2022-03-18,91.99457550048828,31.82063865661621,32.52016830444336,253.96604919433594
2022-03-21,91.48393249511719,31.626506805419922,32.660789489746094,250.226318359375
2022-03-22,91.80416870117188,31.68827247619629,34.327232360839844,248.71730041503906
2022-03-23,92.9985580444336,31.84711265563965,34.06003952026367,250.74183654785156
2022-03-24,92.91202545166016,32.13831329345703,34.66474151611328,250.62933349609375
2022-03-25,91.67435455322266,31.997127532958984,34.995208740234375,248.20179748535156
2022-03-28,91.86475372314453,32.2265625,35.8038215637207,245.43678283691406
2022-03-29,92.06382751464844,32.52658462524414,35.59288787841797,248.9422607421875
2022-03-30,92.669677734375,32.72955322265625,35.564762115478516,253.11312866210938
2022-03-31,91.54450988769531,32.87956237792969,36.387428283691406,251.33233642578125
2022-04-01,90.47129821777344,32.85308837890625,36.837440490722656,249.57960510253906
2022-04-04,89.7702407836914,32.57071304321289,36.886661529541016,250.90118408203125
2022-04-05,90.32416534423828,32.77366638183594,36.52805709838867,251.6884765625
2022-04-06,91.4925765991211,32.94133377075195,36.14836120605469,250.76058959960938
2022-04-07,91.08580017089844,33.135475158691406,35.90929412841797,249.86082458496094
2022-04-08,91.20697021484375,33.3825569152832,36.521026611328125,249.05471801757812
2022-04-11,92.50524139404297,33.72669982910156,36.33821105957031,248.8203887939453
2022-04-12,92.35809326171875,33.63845443725586,36.3663330078125,245.5399169921875
2022-04-13,92.21961212158203,33.76199722290039,36.40852355957031,246.4678192138672
2022-04-14,92.17633819580078,33.956138610839844,36.91477966308594,248.33302307128906
2022-04-19,92.61773681640625,34.070858001708984,37.38589096069336,245.89608764648438
2022-04-20,92.81681823730469,34.4591178894043,36.77415466308594,247.9112548828125
2022-04-21,93.77751922607422,34.829742431640625,35.64913558959961,250.2357177734375
2022-04-22,91.19832611083984,34.69738006591797,34.095191955566406,253.87232971191406
2022-04-26,90.66170501708984,34.30028533935547,32.105316162109375,252.44769287109375
2022-04-27,89.14706420898438,33.43549346923828,32.35141372680664,249.21405029296875
2022-04-28,89.34613800048828,33.647281646728516,33.76472473144531,251.97906494140625
2022-04-29,89.9087142944336,33.982608795166016,33.757694244384766,256.1593322753906
2022-05-02,89.12110137939453,33.797298431396484,33.73659896850586,253.4880828857422
2022-05-03,88.50659942626953,33.92082977294922,33.511592864990234,255.7563018798828
2022-05-04,89.12975311279297,33.594337463378906,33.32877731323242,257.5184326171875
2022-05-05,89.76158905029297,33.65610885620117,33.36393356323242,258.92431640625
2022-05-06,88.62776947021484,33.6649284362793,32.906890869140625,251.3417205810547
2022-05-09,88.8528060913086,33.850242614746094,32.492042541503906,253.44122314453125
2022-05-10,88.02190399169922,33.31195831298828,31.655303955078125,253.67547607421875
2022-05-11,87.85747528076172,33.31195831298828,32.105316162109375,258.89617919921875
2022-05-12,88.41139221191406,32.8354377746582,31.60608673095703,254.17230224609375
2022-05-13,88.52391052246094,33.21488952636719,32.23188018798828,262.6265563964844
2022-05-16,89.43269348144531,33.05604934692383,31.859220504760742,259.8615417480469
2022-05-17,90.98194885253906,33.25019454956055,32.035003662109375,256.8810729980469
2022-05-18,90.7049789428711,32.88838577270508,33.0545539855957,255.96249389648438
2022-05-19,89.8394775390625,31.04409408569336,32.506103515625,256.8154296875
2022-05-20,90.53186798095703,31.194107055664062,33.17409133911133,257.91204833984375
2022-05-23,90.44532012939453,30.59404945373535,33.631126403808594,256.01873779296875
2022-05-24,90.95598602294922,30.38227081298828,33.61003494262695,256.9560241699219
2022-05-25,91.8907241821289,30.947031021118164,33.972110748291016,256.4405212402344
2022-05-26,91.250244140625,30.1528377532959,33.65623474121094,252.9632110595703
2022-05-27,92.28885650634766,30.1528377532959,34.48540115356445,252.1477508544922
2022-05-30,92.228271484375,30.823490142822266,35.46460723876953,256.8154296875
